GISJOIN10,pcover
G1700310834800,0.107664037709
G1700310836200,0.266151417235
G1700310836300,0.998286258034
G1700310836500,0.0678818049522
G1700310837800,0.657308633472
G1700310838000,1
G1700310838100,1
G1700310838200,1
G1700310839200,0.97667624846
G1700310839500,0.999743199506
G1700310841200,0.75072658469
G1700310841300,0.28505376645
G1700310841900,0.380410962973
G1700310842000,0.603024959003
G1700310842900,0.910196746248
G1700310843200,0.0835149779017
G1700310843900,0.232060470141
G1700970862800,0.168925755785
G1700970863201,0.0412814716675
G1701130005900,0.0229083482874
G1701670001400,0.0829675360071
G1701950001500,0.102444495045
G1800030001700,0.301255813179
G1800890030100,0.525637824153
G1800890030200,0.88800438386
G1800890030800,0.0875936887627
G1800890030900,0.103295248816
G1800890031000,0.988443472935
G1801410000500,0.0149335153202
G1801410000900,0.111699141271
G1801410001400,0.659965494528
G1801410001500,0.109557409877
G1801410001700,0.538559273146
G1801410001900,0.07051175818
G1801410002100,0.622960331822
G1801410002300,0.524532948101
G1801410002700,0.0708641435427
G1801410002900,0.718629653252
G1801410003000,0.0279294566002
G1801410003100,0.316657038187
G1801410010100,0.0846165100309
G1801410010300,0.230243900833
G1801410010400,0.0147571277066
G1801410010500,0.690414304956
G1801410010600,0.0116531158575
G1801410011701,0.881188768046
G1801410011702,0.0625382702746
G1801630001100,0.064375392028
G1801630001200,0.280916184128
G1801630001700,0.192751093727
G1801670001800,0.0727078017701
G1801670011100,0.211486673447
G2001730000100,0.998353963851
G2001730000300,0.274396781643
G2001730000400,0.0139448425099
G2001730004300,0.140378795866
G2002090040002,0.671159830716
G2002090041100,0.158104367183
G2002090041800,0.65875659018
G2002090041900,0.110772055087
G2002090042001,0.0663906200028
G2002090042501,0.159653166383
G2002090042700,0.0564934043212
G2002090042800,0.726642169268
G2002090043400,0.0113443461144
G2002090045100,0.204601293387
G2002090045200,0.340014651317
G2100210930300,0.0169021168876
G2101110001200,0.0805418023587
G2101110001400,0.0913643218359
G2101110002400,0.0696376063621
G2101110003000,0.698747760636
G2101110003500,0.038464035171
G2101110003900,0.0101120812733
G2101110004301,0.704435463303
G2101110004900,0.307941848516
G2101110005000,0.933696754687
G2101110005100,0.935215032848
G2101110005200,0.895463728241
G2101110005300,0.683322410597
G2101110005900,0.150142480509
G2101110006600,0.981572807656
G2101110012603,0.116934759117
G2200710007101,0.0926365039472
G2200710014500,0.0816856724681
G2300050000300,0.434719299136
G2300050000500,0.313247323947
G2300050000600,0.0406707215065
G2300050001100,0.310756124148
G2300110024102,0.013748573851
G2300190000200,0.118482711845
G2300190000300,0.0620059494667
G2400310700901,0.100387864373
G2400330803508,0.190686288723
G2400330803602,0.0425923379037
G2405100040100,0.102773284571
G2405100040200,0.190149833661
G2405100060400,0.101340956406
G2405100090400,0.240378533701
G2405100100100,0.0262704217484
G2405100100200,0.541585176608
G2405100100300,0.167337512789
G2405100110100,0.818031706264
G2405100110200,0.809527189489
G2405100140100,0.475280982736
G2405100140200,0.996024021785
G2405100140300,0.211108761263
G2405100160200,0.213881393802
G2405100170100,0.0105214680094
G2405100170200,0.798897779264
G2405100170300,0.81670330165
G2405100220100,0.118657684828
G2405100280500,0.383345566195
G2500050651800,0.066627575848
G2500090205500,0.173993719242
G2500090205700,0.0872531630401
G2500090205800,0.107232123205
G2500090205900,0.995600821018
G2500090206000,0.847945445056
G2500090206100,0.70316608366
G2500090207000,0.773912563753
G2500090207100,0.902051762297
G2500090207200,0.161869934333
G2500090221400,0.0494483869072
G2500090221500,0.0846204090652
G2500090268300,0.0210662450524
G2500130800800,0.0956521501456
G2500130800900,0.35827887882
G2500130801101,0.164039378081
G2500130811700,0.148319086116
G2500170310100,0.0370910749596
G2500170333300,0.160461602164
G2500170333400,0.0167305467247
G2500170333502,0.568506377001
G2500170341200,0.112666276123
G2500170341300,0.206434096837
G2500170341400,0.193291015491
G2500170351500,0.398897856477
G2500170352101,0.0754922900696
G2500170352200,0.0187226840674
G2500170352300,0.191117745832
G2500170352400,0.566979984472
G2500170352500,0.280618269839
G2500170352600,1.76794086197
G2500170352700,0.511056293414
G2500170352800,0.782260740512
G2500170353000,0.194261534885
G2500170353101,0.278040334116
G2500170353200,0.679761587252
G2500170353300,0.689547062965
G2500170353400,0.598368191215
G2500170353500,0.997910196974
G2500170353800,0.16369981004
G2500170353900,0.3434642901
G2500170354100,0.0395525113824
G2500170374300,0.0114315825576
G2500170374800,0.0901399118389
G2500170383700,0.231899966953
G2500170383800,0.132303522132
G2500210400100,0.0304226459641
G2500210400200,0.604077722383
G2500210400300,0.984399142014
G2500210400400,0.367708916455
G2500210400500,0.239424691941
G2500210400700,0.0698280285121
